date,T2M,RH2M,PRECTOTCORR
20240101,27.5,61.78,1.52
20240102,26.76,67.95,2.81
20240103,27.06,65.97,0.75
20240104,25.98,75.64,6.11
20240105,27.38,69.9,5.71
20240106,25.96,73.98,1.57
20240107,25.97,77.77,22.56
20240108,26.17,63.36,0.43
20240109,26.67,61.15,0.01
20240110,26.73,62.76,0.01
20240111,25.88,62.16,0.01
20240112,25.82,59.32,0.01
20240113,26.16,56.04,0.01
20240114,26.28,58.09,0.0
20240115,27.21,60.02,0.17
20240116,27.39,61.88,0.23
20240117,26.69,56.06,0.02
20240118,27.29,58.25,0.06
20240119,27.21,62.47,0.32
20240120,29.1,54.76,0.21
20240121,30.64,51.75,2.35
20240122,26.31,77.83,17.52
20240123,26.08,78.13,7.76
20240124,26.3,75.57,6.93
20240125,25.02,82.81,18.43
20240126,25.03,83.33,10.87
20240127,24.66,85.39,39.63
20240128,23.89,88.18,11.55
20240129,24.34,80.89,1.09
20240130,24.92,72.79,0.14
20240131,24.84,71.69,0.01
