date,T2M,RH2M,PRECTOTCORR
20240101,25.84,88.72,5.17
20240102,24.55,95.1,8.25
20240103,25.82,86.96,4.27
20240104,24.75,95.86,38.96
20240105,24.09,97.77,28.83
20240106,24.91,92.09,4.9
20240107,25.6,90.81,3.84
20240108,24.65,94.88,36.68
20240109,25.34,91.15,7.43
20240110,24.61,95.35,35.26
20240111,24.16,90.93,3.24
20240112,24.48,87.51,0.08
20240113,25.59,89.06,1.17
20240114,26.42,86.47,0.49
20240115,25.34,90.62,0.47
20240116,26.29,86.88,0.6
20240117,26.64,88.49,4.05
20240118,25.9,87.88,6.16
20240119,26.1,86.78,2.74
20240120,27.27,82.31,1.46
20240121,26.65,87.51,6.72
20240122,26.77,88.68,21.88
20240123,26.3,89.6,5.44
20240124,25.28,96.44,29.19
20240125,25.26,94.28,21.54
20240126,25.45,91.57,23.92
20240127,24.64,93.55,7.14
20240128,23.92,96.77,24.24
20240129,24.27,94.95,6.76
20240130,26.08,86.84,4.2
20240131,26.5,86.02,1.18
