date,T2M,RH2M,PRECTOTCORR
20240101,29.6,66.51,1.33
20240102,28.55,71.83,3.18
20240103,28.13,74.17,3.77
20240104,28.97,68.81,1.35
20240105,28.37,73.71,12.46
20240106,27.47,77.12,9.46
20240107,27.03,78.64,4.32
20240108,26.95,82.6,9.77
20240109,27.51,79.35,1.75
20240110,28.64,69.72,0.06
20240111,28.66,71.03,2.88
20240112,26.41,85.09,6.29
20240113,27.01,81.82,5.0
20240114,26.54,79.86,4.63
20240115,26.92,79.33,3.15
20240116,27.99,77.3,8.12
20240117,27.32,79.41,3.2
20240118,28.44,72.74,0.38
20240119,29.23,66.72,0.01
20240120,29.34,68.28,0.84
20240121,29.57,68.07,1.23
20240122,29.09,72.43,9.86
20240123,28.69,77.0,8.85
20240124,28.5,78.1,13.05
20240125,26.77,87.76,12.64
20240126,26.51,89.23,16.65
20240127,25.89,91.68,22.43
20240128,25.19,85.36,11.68
20240129,25.54,88.7,11.79
20240130,25.55,89.27,1.08
20240131,27.21,82.95,2.16
