date,T2M,RH2M,PRECTOTCORR
20240101,13.21,80.45,0.02
20240102,14.1,77.55,0.03
20240103,13.91,88.35,0.43
20240104,14.43,92.72,10.85
20240105,11.03,82.61,0.63
20240106,8.87,79.44,0.0
20240107,8.58,73.82,0.0
20240108,8.32,69.95,2.04
20240109,9.42,87.61,4.26
20240110,11.01,86.07,0.23
20240111,11.19,82.9,0.03
20240112,12.08,83.03,0.0
20240113,12.71,83.59,0.0
20240114,13.63,88.4,0.03
20240115,15.53,96.78,0.19
20240116,15.69,85.9,9.75
20240117,16.76,87.27,8.61
20240118,16.44,93.09,5.58
20240119,14.51,85.25,11.84
20240120,9.56,75.99,0.0
20240121,11.47,83.02,0.01
20240122,10.87,79.95,0.0
20240123,13.38,72.36,0.0
20240124,14.43,72.01,0.0
20240125,15.74,64.94,0.0
20240126,16.63,60.05,0.0
20240127,14.6,76.99,0.0
20240128,13.52,78.86,0.0
20240129,12.82,87.05,0.0
20240130,13.31,81.46,0.0
20240131,13.28,81.0,0.0
