date,RH2M,T2M,PRECTOTCORR
20240101,59.82,19.47,1.32
20240102,65.05,19.59,3.33
20240103,62.23,19.38,0.22
20240104,60.33,18.79,0.08
20240105,58.87,19.75,0.32
20240106,63.04,20.09,0.71
20240107,66.46,19.14,1.12
20240108,58.64,19.21,0.03
20240109,62.3,18.58,0.07
20240110,61.91,19.0,0.21
20240111,57.18,19.6,0.22
20240112,58.98,19.55,1.34
20240113,55.94,19.89,1.25
20240114,58.16,20.59,0.12
20240115,55.72,20.63,0.11
20240116,58.36,19.56,0.03
20240117,52.43,20.01,0.0
20240118,52.44,20.46,0.0
20240119,52.49,20.87,0.0
20240120,54.18,19.8,0.05
20240121,54.22,19.85,0.25
20240122,57.94,19.41,0.69
20240123,53.59,19.49,0.02
20240124,49.48,20.64,0.0
20240125,46.97,21.2,0.01
20240126,44.14,22.3,0.02
20240127,53.89,21.13,0.07
20240128,65.26,20.66,0.64
20240129,61.9,21.77,1.31
20240130,58.31,22.11,0.52
20240131,57.99,21.9,0.08
