date,T2M,RH2M,PRECTOTCORR
20240101,9.18,87.89,0.01
20240102,9.27,90.44,0.0
20240103,9.07,87.85,0.0
20240104,10.0,89.08,0.0
20240105,9.79,80.36,0.0
20240106,11.01,88.79,2.81
20240107,9.24,87.02,13.75
20240108,7.84,88.64,11.57
20240109,6.05,85.53,3.06
20240110,2.56,86.75,0.12
20240111,3.57,85.23,4.77
20240112,3.73,93.67,8.16
20240113,3.46,83.52,0.05
20240114,3.48,83.16,0.04
20240115,7.27,93.52,13.41
20240116,9.72,91.42,2.41
20240117,9.53,88.57,0.05
20240118,10.96,90.13,0.07
20240119,10.98,85.69,0.0
20240120,11.06,82.06,0.41
20240121,3.68,87.48,1.59
20240122,2.15,77.74,0.03
20240123,3.34,77.77,0.0
20240124,3.71,80.89,0.0
20240125,6.2,72.88,0.0
20240126,5.4,66.9,0.0
20240127,6.42,61.42,0.0
20240128,2.93,81.42,0.08
20240129,1.78,84.81,0.71
20240130,1.11,89.49,2.55
20240131,1.95,84.19,0.29
