date,RH2M,T2M,PRECTOTCORR
20240101,93.13,26.42,2.59
20240102,92.59,26.97,8.37
20240103,92.13,26.68,1.96
20240104,90.5,26.9,3.2
20240105,91.63,26.14,3.37
20240106,90.29,26.89,11.9
20240107,88.36,26.56,17.82
20240108,90.91,26.62,7.59
20240109,92.2,26.71,26.34
20240110,91.57,27.0,15.88
20240111,93.99,26.38,10.82
20240112,89.53,26.66,6.82
20240113,94.4,25.88,26.21
20240114,92.88,26.01,15.71
20240115,96.73,25.66,13.56
20240116,95.88,25.64,31.65
20240117,88.01,26.52,2.3
20240118,90.23,26.72,8.79
20240119,93.27,25.77,11.12
20240120,91.56,26.14,6.45
20240121,89.3,26.55,0.94
20240122,87.94,26.97,3.17
20240123,91.02,26.52,2.8
20240124,85.69,27.13,0.17
20240125,89.32,27.12,11.08
20240126,89.32,26.71,7.82
20240127,89.68,26.85,18.54
20240128,89.07,26.95,12.47
20240129,88.48,27.22,1.75
20240130,90.65,27.08,1.98
20240131,87.55,27.1,2.46
