date,T2M,RH2M,PRECTOTCORR
20240101,22.38,81.46,0.0
20240102,22.19,81.62,0.0
20240103,22.25,80.41,0.0
20240104,22.6,77.83,0.0
20240105,22.33,74.45,0.0
20240106,22.65,77.31,0.0
20240107,23.05,73.96,0.0
20240108,22.96,72.27,0.0
20240109,23.35,75.16,0.0
20240110,23.48,73.65,0.0
20240111,24.29,72.73,0.0
20240112,24.55,78.58,0.0
20240113,24.82,74.71,0.0
20240114,24.49,77.2,0.0
20240115,24.53,76.51,0.0
20240116,24.48,75.18,0.0
20240117,24.27,72.55,0.0
20240118,23.74,69.69,0.0
20240119,24.13,71.69,0.0
20240120,24.4,73.36,0.0
20240121,24.89,73.14,0.0
20240122,25.55,71.44,0.0
20240123,25.33,74.61,0.0
20240124,25.57,73.55,0.0
20240125,25.8,71.93,0.0
20240126,25.08,71.93,0.15
20240127,24.94,74.38,0.22
20240128,24.44,72.54,0.0
20240129,23.78,66.95,0.0
20240130,23.72,66.81,0.0
20240131,24.34,69.52,0.0
