date,T2M,RH2M,PRECTOTCORR
20240101,10.97,66.05,0.0
20240102,10.32,66.29,0.0
20240103,11.19,61.85,0.0
20240104,10.94,60.32,0.0
20240105,11.08,64.12,0.0
20240106,10.63,69.06,0.0
20240107,10.53,69.89,0.0
20240108,11.03,65.99,0.0
20240109,10.33,66.88,0.0
20240110,9.48,67.88,0.0
20240111,9.43,61.91,0.0
20240112,10.31,57.51,0.0
20240113,12.44,48.88,0.0
20240114,10.22,51.64,0.0
20240115,10.76,48.95,0.0
20240116,11.52,49.59,0.0
20240117,11.23,56.22,0.0
20240118,11.85,59.22,0.0
20240119,12.74,54.72,0.0
20240120,11.2,58.76,0.0
20240121,10.03,59.65,0.0
20240122,10.84,51.36,0.0
20240123,10.73,52.02,0.0
20240124,9.96,56.29,0.0
20240125,10.03,54.78,0.0
20240126,12.47,52.04,0.0
20240127,13.66,56.31,0.0
20240128,15.36,49.89,0.0
20240129,13.85,52.85,0.0
20240130,14.5,53.96,0.0
20240131,14.44,63.87,3.88
