date,T2M,RH2M,PRECTOTCORR
20240101,15.93,45.93,0.0
20240102,16.47,63.79,0.75
20240103,17.84,67.52,1.23
20240104,16.89,75.58,1.44
20240105,16.87,81.19,1.34
20240106,18.37,80.18,1.51
20240107,17.25,73.02,0.0
20240108,16.93,58.88,0.0
20240109,17.95,54.45,0.0
20240110,17.16,57.26,0.0
20240111,14.48,47.97,0.0
20240112,13.5,43.07,0.0
20240113,13.79,41.25,0.0
20240114,14.45,37.92,0.0
20240115,14.09,34.79,0.0
20240116,13.49,35.19,0.0
20240117,13.72,42.14,0.0
20240118,13.84,50.88,0.0
20240119,13.41,46.37,0.0
20240120,13.14,44.21,0.0
20240121,13.06,47.17,0.0
20240122,13.48,42.93,0.0
20240123,13.49,39.58,0.0
20240124,13.72,35.81,0.0
20240125,14.42,37.25,0.0
20240126,14.83,38.56,0.0
20240127,15.09,38.52,0.0
20240128,16.11,38.95,0.0
20240129,16.89,40.64,0.0
20240130,16.96,39.87,0.0
20240131,17.85,40.83,0.0
