date,RH2M,T2M,PRECTOTCORR
20240101,84.21,14.96,0.41
20240102,78.42,14.03,0.44
20240103,83.5,14.54,0.04
20240104,94.05,14.99,0.21
20240105,83.94,15.85,0.78
20240106,82.84,14.08,8.67
20240107,69.59,12.63,0.29
20240108,78.5,12.31,6.42
20240109,79.24,13.35,1.24
20240110,76.29,13.09,4.14
20240111,85.04,12.99,4.38
20240112,83.32,12.46,1.65
20240113,72.12,12.48,0.05
20240114,76.94,13.11,0.27
20240115,87.97,14.92,0.21
20240116,93.4,14.83,0.3
20240117,94.97,15.04,0.06
20240118,85.97,15.68,0.0
20240119,89.37,15.28,0.03
20240120,86.47,13.64,1.28
20240121,66.28,11.31,0.1
20240122,65.96,11.45,0.0
20240123,80.42,12.97,0.75
20240124,79.83,13.48,0.06
20240125,91.43,14.05,0.36
20240126,84.64,13.6,0.11
20240127,83.37,12.68,0.19
20240128,74.96,13.24,0.02
20240129,63.58,12.44,0.0
20240130,67.66,11.9,0.0
20240131,63.78,11.36,0.0
