date,RH2M,T2M,PRECTOTCORR
20240101,78.42,26.24,0.97
20240102,82.44,25.96,1.18
20240103,78.45,26.28,1.16
20240104,81.98,25.7,4.52
20240105,82.58,25.58,5.1
20240106,84.61,24.87,2.03
20240107,83.97,24.86,1.75
20240108,81.44,25.46,1.28
20240109,79.39,25.64,0.66
20240110,78.81,25.45,0.6
20240111,79.01,25.44,0.14
20240112,80.54,25.35,2.63
20240113,83.68,25.33,5.83
20240114,78.28,26.34,0.2
20240115,80.3,26.54,0.43
20240116,83.28,25.81,1.91
20240117,79.29,25.99,1.24
20240118,79.79,25.86,0.58
20240119,80.36,26.36,2.17
20240120,86.8,25.39,3.33
20240121,76.75,26.15,0.22
20240122,75.22,26.46,0.14
20240123,73.92,26.13,0.04
20240124,76.41,25.69,0.06
20240125,79.84,25.59,0.49
20240126,81.91,25.7,0.23
20240127,82.85,25.88,0.2
20240128,77.12,26.77,0.19
20240129,74.62,27.07,0.19
20240130,75.78,26.82,0.44
20240131,77.72,26.47,0.97
