date,T2M,RH2M,PRECTOTCORR
20240101,22.68,86.0,0.0
20240102,22.83,85.91,0.0
20240103,22.92,85.37,0.0
20240104,22.97,86.08,0.03
20240105,23.25,85.09,0.01
20240106,23.19,84.67,0.02
20240107,23.18,86.26,0.01
20240108,23.23,85.81,0.0
20240109,22.92,87.56,0.0
20240110,22.86,89.35,0.06
20240111,22.76,88.26,0.13
20240112,23.3,85.07,0.06
20240113,23.86,84.45,0.05
20240114,23.72,84.21,0.1
20240115,23.29,86.86,0.06
20240116,23.61,85.47,0.08
20240117,23.3,87.15,0.05
20240118,23.15,87.29,0.01
20240119,23.27,86.96,0.08
20240120,23.45,87.19,0.07
20240121,23.75,86.37,0.2
20240122,23.94,87.41,0.18
20240123,24.43,85.68,0.0
20240124,24.61,84.91,0.0
20240125,25.23,83.47,0.0
20240126,25.22,83.87,0.0
20240127,25.01,84.29,0.02
20240128,25.14,82.98,0.52
20240129,25.1,85.65,0.01
20240130,24.72,87.18,0.0
20240131,24.57,85.78,0.0
