date,T2M,RH2M,PRECTOTCORR
20240101,19.22,75.65,1.87
20240102,19.25,74.86,3.14
20240103,19.03,74.41,0.9
20240104,19.39,76.83,5.07
20240105,20.73,66.45,0.61
20240106,19.48,76.29,0.06
20240107,18.97,78.99,0.0
20240108,19.64,75.81,0.0
20240109,20.53,71.56,0.0
20240110,20.71,69.56,0.0
20240111,19.17,72.87,0.0
20240112,18.09,83.47,0.19
20240113,19.8,73.11,0.06
20240114,20.15,68.06,0.0
20240115,20.19,72.65,0.0
20240116,20.77,69.99,0.0
20240117,20.14,74.72,0.0
20240118,20.76,72.84,0.73
20240119,21.46,70.02,0.53
20240120,20.86,73.72,0.01
20240121,21.73,66.17,1.08
20240122,21.84,68.16,0.06
20240123,22.61,69.73,0.2
20240124,22.6,70.17,0.02
20240125,23.09,64.62,0.0
20240126,23.48,62.19,0.0
20240127,20.8,72.88,0.0
20240128,21.95,68.23,0.17
20240129,22.24,65.93,2.54
20240130,21.7,66.87,0.84
20240131,20.79,72.82,1.58
