date,RH2M,T2M,PRECTOTCORR
20240101,76.12,24.48,0.04
20240102,75.84,24.45,0.02
20240103,77.6,24.14,0.03
20240104,77.68,24.38,0.14
20240105,76.92,24.77,0.06
20240106,74.76,25.01,0.1
20240107,72.29,25.93,0.03
20240108,76.4,25.24,0.07
20240109,75.97,25.38,0.4
20240110,78.37,24.89,1.58
20240111,80.55,24.64,1.33
20240112,78.27,25.15,0.64
20240113,76.13,25.68,0.13
20240114,78.28,25.58,0.03
20240115,76.39,25.55,0.13
20240116,75.71,25.62,0.8
20240117,75.7,25.86,1.27
20240118,75.65,25.89,0.17
20240119,74.6,26.07,0.37
20240120,76.55,25.88,0.28
20240121,73.88,26.66,0.14
20240122,74.04,26.81,0.07
20240123,73.72,26.84,0.0
20240124,73.69,26.79,0.0
20240125,72.82,27.07,0.0
20240126,75.81,26.45,0.0
20240127,74.58,26.42,0.06
20240128,75.07,26.29,0.05
20240129,76.8,26.49,0.01
20240130,76.28,26.91,0.02
20240131,74.83,26.92,0.06
