date,T2M,RH2M,PRECTOTCORR
20240101,22.26,87.39,0.01
20240102,21.82,90.68,0.01
20240103,22.36,88.01,0.03
20240104,22.81,86.51,0.27
20240105,22.84,86.5,0.01
20240106,22.56,86.96,0.13
20240107,22.65,88.18,0.06
20240108,23.32,83.93,0.04
20240109,22.82,87.55,0.02
20240110,22.3,91.56,0.68
20240111,22.45,90.71,0.71
20240112,23.08,87.01,1.02
20240113,23.33,87.61,0.1
20240114,23.96,83.32,0.1
20240115,23.25,87.67,0.41
20240116,23.11,88.06,1.06
20240117,23.08,87.87,0.25
20240118,23.13,87.5,0.2
20240119,23.29,86.84,1.05
20240120,23.36,87.62,0.13
20240121,23.66,86.54,0.32
20240122,23.93,86.3,0.2
20240123,24.1,85.63,0.0
20240124,24.27,85.48,0.0
20240125,24.85,83.07,0.0
20240126,24.89,82.82,0.0
20240127,24.39,85.89,0.17
20240128,24.5,84.8,0.22
20240129,24.63,86.59,0.01
20240130,24.58,87.57,0.1
20240131,24.62,85.34,0.39
