date,RH2M,T2M,PRECTOTCORR
20240101,89.65,20.53,0.23
20240102,89.15,20.62,0.33
20240103,87.13,20.84,0.28
20240104,87.16,21.41,0.29
20240105,84.26,21.95,0.1
20240106,86.33,21.49,0.09
20240107,86.62,21.36,0.08
20240108,85.19,21.83,0.04
20240109,88.23,21.62,0.06
20240110,88.51,21.5,0.03
20240111,89.41,21.05,0.03
20240112,89.94,21.04,0.53
20240113,87.03,21.63,0.17
20240114,87.08,21.41,0.46
20240115,86.69,21.53,0.08
20240116,85.58,21.91,0.28
20240117,89.08,21.37,0.2
20240118,87.02,21.56,0.54
20240119,88.09,21.54,0.52
20240120,86.13,21.76,0.12
20240121,84.03,21.93,0.18
20240122,85.46,22.26,0.35
20240123,84.63,22.98,0.18
20240124,87.18,23.23,0.02
20240125,83.8,23.74,0.03
20240126,86.34,23.77,0.11
20240127,86.65,23.73,0.16
20240128,87.6,23.34,0.28
20240129,85.84,23.4,0.04
20240130,85.74,23.09,0.17
20240131,85.48,23.0,0.26
