date,T2M,RH2M,PRECTOTCORR
20240101,27.68,61.28,0.0
20240102,27.14,62.08,0.11
20240103,27.11,62.11,0.21
20240104,27.23,62.72,0.25
20240105,27.81,61.75,0.47
20240106,27.84,62.63,0.21
20240107,28.42,59.45,0.0
20240108,29.18,59.17,0.25
20240109,28.11,62.04,0.63
20240110,27.43,66.07,1.61
20240111,27.16,65.62,0.29
20240112,27.84,64.21,0.15
20240113,28.33,62.21,0.18
20240114,28.01,65.48,0.29
20240115,28.03,64.42,0.57
20240116,28.44,61.64,0.06
20240117,28.44,63.06,0.13
20240118,28.35,63.39,0.07
20240119,28.85,61.65,0.01
20240120,28.46,63.03,0.05
20240121,29.13,62.2,0.01
20240122,29.32,61.21,0.0
20240123,29.2,61.95,0.0
20240124,29.64,60.09,0.0
20240125,29.65,60.43,0.0
20240126,29.19,62.39,0.0
20240127,28.66,64.1,0.0
20240128,27.47,66.53,0.0
20240129,29.05,63.12,0.0
20240130,29.26,63.65,0.08
20240131,27.74,67.91,0.39
