date,T2M,RH2M,PRECTOTCORR
20240101,25.51,79.49,0.28
20240102,26.18,73.79,0.25
20240103,26.37,73.33,0.44
20240104,26.26,74.63,0.21
20240105,26.64,73.87,0.31
20240106,26.57,75.32,0.25
20240107,27.16,73.11,0.35
20240108,28.27,71.57,1.79
20240109,27.55,72.68,3.33
20240110,26.73,76.65,1.72
20240111,26.79,74.59,0.95
20240112,26.64,76.69,1.78
20240113,26.73,76.81,0.51
20240114,27.15,76.42,1.41
20240115,26.83,77.26,1.39
20240116,27.34,73.96,0.11
20240117,27.7,73.44,0.12
20240118,27.62,73.0,0.1
20240119,27.71,73.55,0.09
20240120,27.84,73.42,0.76
20240121,27.46,75.86,0.17
20240122,27.98,73.23,0.13
20240123,28.25,72.08,0.0
20240124,28.4,71.11,0.0
20240125,28.46,71.44,0.03
20240126,28.28,73.16,0.03
20240127,26.93,76.73,0.05
20240128,27.67,73.1,0.09
20240129,28.06,74.34,0.35
20240130,27.55,77.71,1.34
20240131,27.05,78.83,1.88
