date,RH2M,T2M,PRECTOTCORR
20240101,73.97,27.25,0.0
20240102,74.7,26.96,0.0
20240103,74.64,26.67,0.0
20240104,73.19,26.72,0.0
20240105,72.88,27.1,0.0
20240106,73.49,26.79,0.0
20240107,72.87,26.54,0.0
20240108,71.68,26.89,0.0
20240109,70.54,26.54,0.0
20240110,71.16,26.8,0.0
20240111,73.15,27.01,0.0
20240112,73.92,27.41,0.0
20240113,74.08,28.02,0.0
20240114,74.18,28.41,0.0
20240115,75.59,28.29,0.0
20240116,74.79,28.46,0.02
20240117,78.41,28.45,0.16
20240118,76.23,28.68,0.01
20240119,70.25,28.5,0.02
20240120,68.75,27.86,0.0
20240121,69.31,27.53,0.0
20240122,66.82,27.68,0.0
20240123,70.84,28.09,0.0
20240124,71.44,28.79,0.0
20240125,74.08,28.78,0.06
20240126,72.9,28.65,0.03
20240127,69.16,28.77,0.0
20240128,72.7,28.88,0.0
20240129,70.5,29.23,0.0
20240130,69.47,29.05,0.0
20240131,70.21,28.79,0.01
