date,RH2M,T2M,PRECTOTCORR
20240101,65.36,3.33,0.02
20240102,57.25,3.16,2.88
20240103,92.09,-1.46,13.07
20240104,66.45,-1.37,0.03
20240105,53.74,0.5,0.06
20240106,56.84,-0.5,5.36
20240107,75.41,-5.11,0.38
20240108,58.79,-2.76,0.0
20240109,71.19,0.75,0.0
20240110,89.6,-1.27,10.62
20240111,74.98,-3.83,2.01
20240112,53.06,-0.22,0.0
20240113,71.17,2.23,2.06
20240114,86.19,2.05,2.19
20240115,58.31,4.83,0.01
20240116,52.67,6.39,1.08
20240117,80.54,3.83,1.82
20240118,45.74,6.84,0.01
20240119,55.83,6.74,0.54
20240120,90.78,3.85,5.94
20240121,85.27,3.59,1.6
20240122,93.88,2.9,14.0
20240123,81.85,3.8,1.09
20240124,80.27,3.61,3.95
20240125,72.44,2.53,0.16
20240126,48.31,6.07,0.0
20240127,56.99,10.5,0.0
20240128,67.55,8.98,0.0
20240129,61.21,8.42,0.0
20240130,47.8,8.95,0.0
20240131,56.56,6.91,0.83
