date,RH2M,T2M,PRECTOTCORR
20240101,73.91,-3.37,0.0
20240102,86.86,-1.54,0.0
20240103,81.96,-2.23,0.0
20240104,76.39,-3.26,0.0
20240105,82.57,-1.65,0.02
20240106,87.1,-1.44,0.04
20240107,75.67,-2.93,0.02
20240108,88.64,-2.1,3.47
20240109,89.46,-2.29,9.74
20240110,88.77,-6.04,2.22
20240111,87.02,-7.67,0.76
20240112,90.49,-10.31,9.57
20240113,86.64,-19.04,0.39
20240114,87.66,-24.68,0.03
20240115,88.25,-22.94,0.0
20240116,88.01,-21.21,0.0
20240117,83.98,-13.85,0.1
20240118,87.72,-12.93,3.03
20240119,91.82,-18.66,0.01
20240120,94.36,-21.79,0.15
20240121,93.53,-13.1,0.06
20240122,95.22,-2.04,0.19
20240123,97.9,-1.66,1.51
20240124,96.21,-0.2,0.36
20240125,97.0,0.41,9.79
20240126,97.06,-0.33,1.39
20240127,93.9,-1.25,0.06
20240128,91.99,-1.13,0.0
20240129,92.87,1.36,0.0
20240130,89.35,0.6,0.04
20240131,90.17,2.62,0.03
